1       ,126     ,315   , 8
2       ,446     ,308   , 9
3       ,446     ,308   , 9 
4       ,446     ,308   , 9 
5       ,446     ,308   , 9 
6       ,444     ,307   , 20 
7       ,445     ,308   , 9
8       ,447     ,307   , 9 
9       ,442     ,309   , 9 
10      ,445     ,308   , 9 
11      ,442     ,309   , 9
12      ,454     ,317   , 9 
13      ,454     ,317   , 9 
14      ,454     ,317   , 9 
15      ,454     ,317   , 9 
16      ,466     ,311   , 9 
17      ,466     ,311   , 9 
18      ,466     ,311   , 9 
20      ,443     ,308   , 9 
21      ,474     ,303   , 20 
22      ,454     ,317   , 9
23      ,480     ,304   , 20 
25      ,481     ,302   , 20
26      ,494     ,319   , 9
27      ,452     ,319   , 9 
28      ,445     ,308   , 9 
29      ,423     ,321   , 5
30      ,422     ,308   , 9 
32      ,281     ,329   , 9
33      ,145     ,310   , 5
34      ,446     ,307   ,   
35      ,474     ,303   ,   
36      ,480     ,304   ,   
42      ,407     ,323   ,  7
45      ,407     ,323   ,  7 
46      ,408     ,323   ,  7
47      ,408     ,323   ,  7
50      ,407     ,323   ,  7
69      ,524     ,291   ,  5
70      ,154     ,310   ,  8
71      ,160     ,309   ,  8
72      ,156     ,312   ,  5
73      ,405     ,308   ,  5
74      ,405     ,308   ,  5
75      ,405     ,308   ,  5
76      ,522     ,306   ,  7
77      ,522     ,306   ,  7
78      ,522     ,306   ,  7
79      ,126     ,315   ,  8
80      ,126     ,315   ,  8
81      ,126     ,315   ,  8
82      ,126     ,315   ,  8
83      ,125     ,315   ,  8
84      ,125     ,315   ,  8
85      ,125     ,315   ,  8
86      ,125     ,315   ,  8
87      ,125     ,315   ,  8
88      ,124     ,315   ,  8
89      ,124     ,315   ,  8
90      ,124     ,315   ,  5
91      ,124     ,315   ,  5
92      ,126     ,315   ,  8
93      ,126     ,315   ,  8
94      ,126     ,315   ,  8
95      ,125     ,315   ,  8
96      ,125     ,315   ,  7
97      ,126     ,315   ,  8
98      ,126     ,315   ,  8
99      ,423     ,312   ,  5
100     ,423     ,312   ,  5
101     ,423     ,312   ,  5
102     ,423     ,312   ,  5
103     ,423     ,312   ,  5
104     ,423     ,312   ,  5
105     ,419     ,315   ,  5
106     ,143     ,309   ,   
107     ,425     ,310   ,  8
108     ,424     ,311   ,  5
109     ,424     ,311   ,  8
110     ,146     ,311   ,  5
111     ,419     ,308   ,  8
112     ,417     ,308   ,  5
113     ,418     ,308   ,  8
114     ,418     ,308   ,  5
115     ,423     ,312   ,  5
116     ,421     ,312   ,  5
117     ,421     ,312   ,  5
118     ,300     ,312   ,  5
119     ,299     ,312   ,  5
120     ,298     ,312   ,  5
121     ,423     ,312   ,  5
122     ,423     ,312   ,  5
123     ,422     ,311   ,  5
124     ,422     ,311   ,  5
125     ,423     ,312   ,  5
126     ,422     ,312   ,  5
127     ,423     ,312   ,  5
128     ,407     ,311   ,  5
129     ,407     ,311   ,  5
130     ,407     ,311   ,  5
131     ,425     ,311   ,  5
132     ,421     ,318   ,  7
134     ,409     ,323   ,  7
135     ,409     ,322   ,  7
137     ,410     ,323   ,  7
138     ,411     ,322   ,  7
139     ,412     ,322   ,  7
140     ,414     ,322   ,  7
141     ,415     ,322   ,  7
142     ,423     ,321   ,  5
144     ,416     ,322   ,  7
145     ,415     ,322   ,  7
146     ,416     ,322   ,  7
147     ,417     ,321   ,  7
148     ,417     ,321   ,  7
149     ,419     ,321   ,  7
151     ,420     ,321   ,  7
152     ,422     ,322   ,  7
153     ,422     ,321   ,  7
154     ,423     ,321   ,  7
157     ,429     ,321   ,  7
158     ,429     ,321   ,  7
159     ,430     ,320   ,  7 
163     ,437     ,320   ,  7
164     ,438     ,320   ,  7
165     ,419     ,321   ,  7
166     ,419     ,321   ,  7
169     ,407     ,323   ,  7
171     ,408     ,323   ,  7
172     ,424     ,322   ,  7
173     ,423     ,321   ,  5
174     ,422     ,318   ,  7
175     ,423     ,319   ,  7
176     ,423     ,319   ,  7
177     ,422     ,318   ,  7
178     ,421     ,318   ,  5
179     ,422     ,318   ,  7
180     ,423     ,319   ,  7
182     ,423     ,319   ,  7
183     ,407     ,323   ,  7
184     ,408     ,323   ,  7
186     ,408     ,323   ,  7
187     ,408     ,323   ,  7
188     ,408     ,323   ,  7
189     ,408     ,323   ,  7
190     ,408     ,323   ,  7
191     ,408     ,323   ,  7
192     ,408     ,323   ,  7
205     ,407     ,323   ,  7
214     ,407     ,323   ,  7
215     ,407     ,323   ,  7
216     ,407     ,323   ,  7
217     ,407     ,323   ,  7
219     ,454     ,317   ,  5
220     ,259     ,324   ,   
221     ,259     ,324   ,   
