DOY,ISAMDYN,ISAMBC,Measured
195,52.805,38.0925,64.57333333
196,41.3225,35.57,52.83
197,62.8475,46.23,61.20333333
198,46.6625,39.63,50.77
199,45.9275,37.1225,49.41333333
200,40.2625,30.8875,36.39
201,47.885,39.69,58.17
202,40.105,28.4575,46.52
203,55.775,41.3125,63.02666667
204,55.7,43.445,64.32
205,42.595,34.015,55.74
206,39.505,32.9875,55.38
207,42.985,36.1775,58.95333333
208,41.295,34.9525,52.01333333
209,46.9875,40.805,54.37
210,39.8825,32.91,44.14
211,50.34,43.05,54.73666667
212,44.06,39.295,48.59333333
213,45.2575,40.145,51.69
214,49.2425,39.9525,57.62333333
215,46.525,38.9825,51.18
216,46.3375,36.0475,49.74
217,43.1975,36.005,44.99
218,36.3725,28.74,38.08666667
219,37.5075,29.75,35.05333333
220,29.5025,25.0625,33.57
221,36.57,29.1925,41.98
222,42.0725,33.3675,48.77666667
223,36.7525,28.13,46.08
224,25.4425,18.23,29
225,26.24,18.865,32.87333333
226,34.8225,24.36,39.35666667
227,34.8275,26.685,38.70666667
228,38.29,28.9,43.21333333
229,37.1,26.9575,39.33
230,45.5675,32.4125,49.52333333
231,44.49,32.69,48.52333333
232,34.265,26.57,40.82
233,37.9325,26.3125,39.16333333
234,37.3625,28.1025,39.65
235,40.01,28.48,41.33333333
236,42.325,30.645,48.11333333
237,42.935,32.6175,57.33333333
238,31.115,23.93,43.59
239,25.66,20.88,36.66333333
240,28.9875,22.3925,37.54666667
241,30.2275,18.8625,28.23
242,32.31,21.44,35.37333333
243,15.6525,10.1325,19.53666667
244,19.355,14.0625,22.92666667
245,16.59,11.05,19.59
246,23.0675,15.235,21.24
247,27.59,18.695,28.99
248,23.7,15.11,17.58666667
249,17.7725,13.155,16.08666667
250,20.215,15.6475,26.11333333
251,26.595,21.2525,30.57333333
252,31.0875,23.5825,34.92
253,38.6875,28.3525,44.03666667
254,23.835,17.84,31.47
255,24.7725,18.125,33.07
256,16.39,10.8475,18.52666667
257,23.9525,17.035,34.78
258,20.6075,15.115,25.98666667
259,20.5,14.095,23.51
260,20.8125,16.04,23.03
261,22.715,17.415,23.27
262,14.5525,11.29,14.74666667
263,16.435,11.695,12.81333333
264,16.9075,11.885,13.5
265,16.76,10.965,19.75333333
266,15.9775,10.605,17.42333333
267,14.775,8.8475,19.65666667
268,17.3475,10.085,19.56333333
269,14.0075,8.655,18.66
270,11.2825,7.6475,13.08666667
271,7.8075,4.845,11.76666667
272,12.8525,8.2,14.72666667
273,13.8975,7.675,16.45
274,15.425,9.9075,18.00666667
275,13.205,8.025,13.66
276,10.995,7.07,12.74333333
277,15.1275,9.03,14.86666667
278,15.395,9.105,15.82333333
279,13.765,8.1125,17.75
280,13.505,8.1625,15.01
281,14.5275,8.63,15.11
282,14.135,10.775,17.62
283,9.4975,4.7525,11.67666667
284,4.295,2.44,4.853333333
285,7.185,4.1725,10.84333333
286,7.975,3.4,10.35666667
287,3.725,0.85,4.343333333
288,9.2525,4.03,12.91666667
289,5.8025,3.0775,9.36
290,5.2525,2.47,6.546666667
291,4.49,1.745,4.976666667
292,3.8,1.86,5.023333333
293,4.4675,2.125,4.36
294,2.0525,1.0325,2.943333333
295,5.7175,4.3125,5.603333333
296,5.34,5.14,7.39
297,4.665,2.8575,5.973333333
298,2.9525,1.745,5.193333333
299,3.0375,0.71,1.96
300,4.5725,2.085,4.126666667
301,5.665,2.4825,6.3
302,6.325,2.9325,9.146666667
303,1.8625,0.5625,1.42
304,1.8425,0.16,2.263333333
305,1.5075,-0.36,1.076666667
306,2.505,0.6425,4.16
307,2.2525,-0.0075,1.95
308,0.935,-0.07,1.156666667
309,1.775,0.3775,2.673333333
310,4.3475,1.295,5.726666667
311,2.485,0.97,3.816666667
312,1.195,0.22,1.793333333
313,1.0575,0.3425,1.726666667
314,1.2475,0.3,2.48
315,1.8825,0.5475,2.596666667
316,2.71,0.4625,2.326666667
317,1.5225,-0.445,0.153333333
318,0.0425,-1.625,-2.096666667
319,-0.0075,-0.11,0.816666667
320,0.86,0.72,3.143333333
321,0,-2.465,-4.72
322,-1.0775,-1.9975,-3.666666667
323,1.3975,0.2175,1.98
324,1.615,0.2625,3.98
325,2.105,0.2175,2.206666667
326,1.7375,0.2725,0.31
327,0.5525,-0.3825,1.553333333
328,1.4925,0.32,1.303333333
329,2.1275,0.935,1.683333333
330,0.38,-0.4,0.9
331,0.325,-0.2,0.71
332,-0.0275,-1.0125,-1.703333333
333,0.935,0.285,2.14
334,1.495,1.12,1.16
335,1.885,1.785,0.99
336,1.5725,3.04,1.693333333
337,0.78,1.4525,0.77
338,1.1075,1.4725,0.96
339,0.41,1.015,0.756666667
340,1.1225,1.4875,1.24
341,0.7,0.7375,0.23
342,0.9975,0.4725,2.023333333
343,0.5475,0.5575,0.09
344,0.8275,1.6875,0.84
345,0.9475,0.985,1.866666667
346,0.46,0.2325,0.56
347,0.11,0.1025,-0.156666667
348,0.48,0.3875,0.92
349,1.1825,0.595,-0.093333333
350,0.47,1.19,-0.69
351,0.5125,-0.265,-2.606666667
352,-0.3625,-0.4325,-0.093333333
353,0.2775,0.1625,-0.56
354,1.6975,1.02,1.97
355,0.8625,-0.305,-0.236666667
356,0.925,-0.2525,0.11
357,0.685,0.3925,0.216666667
358,-0.5425,-0.285,-0.03
359,-0.5675,-0.41,-0.233333333
360,-1.2025,-0.995,-0.286666667
361,-0.9775,-0.495,1.146666667
362,1.025,0.805,1.706666667
363,0.9825,0.92,2.57
364,1.0625,0.3975,1.396666667
365,0.725,0.35,1.023333333
