depth,dynamic uptake,static uptake
0,0.009895511,0.000840679
5,0.01103626,0.006645024
10,0.010564332,0.018401725
15,0.007502353,0.016328394
30,0.004460319,0.006777827
50,0,0.002764933
83,0,0.002778962
