Month,ISAMDYN,ISAMBC,MTE
1,0.69,0.79,-1.35
2,1.35,1.38,0.11
3,4.49,4.6,4.21
4,8.7,9.12,11.77
5,17,18.48,27.92
6,32.5,36.68,46.96
7,43.81,46.93,54.64
8,33.2,33.64,40.47
9,17.8,17.27,16.56
10,6.72,7.12,3.83
11,2.06,2.64,-0.14
12,1.042,1.56,-1.37
