Month,ISAMDYN,ISAMBC,MTE
1,0,0,0
2,0,0,0
3,0.008,0.01,0.03
4,0.04,0.07,0.13
5,0.18,0.57,0.49
6,0.77,2.42,1.25
7,1.75,3.12,1.84
8,1.52,1.91,1.39
9,0.68,0.57,0.52
10,0.08,0.08,0.12
11,0.004,0,0.02
12,0,0,0
