Month,ISAMDYN,ISAMBC,MTE
1,-9.01,-7.5,-6.28
2,-4.39,-2.013,-3.27
3,4.57,9.31,6.53
4,22.79,28.1,24.65
5,49.05,53.39,42.98
6,66.09,68.25,55.46
7,61.63,64.58,52.36
8,47.79,50.33,47.59
9,30.89,33.12,37.49
10,10.72,10.44,23.073
11,-3.79,-3.14,8.48
12,-9.22,-7.99,-2.63
