Month,ISAMDYN,ISAMBC,MTE
1,-4.38,-3.75,-9.59
2,-2.9,-1.41,-6.67
3,1.36,4.76,3.09
4,10.08,15.54,22.41
5,32.79,39.07,45.6
6,59.52,62.39,63.71
7,57.45,61.21,59.65
8,40.91,46.07,50.77
9,21.81,25.35,35.65
10,5.78,6.39,19.46
11,-3.25,-2.24,3.1
12,-5.35,-4.85,-6.8
