Month,ISAMDYN,ISAMBC,MTE
1,-5.92,-6.91,-12.4
2,-5.92,-4.44,-10.6
3,-1.34,1.87,-3.2
4,7.25,12.25,12.53
5,21.25,26.93,33.36
6,48.82,51.89,54.09
7,57.17,57.59,56.15
8,39.09,40.62,48.29
9,17.78,19.19,30.81
10,0.73,1.64,13.07
11,-7.74,-6.36,-2.27
12,-9.49,-8.54,-10.12
