depth,Measured,depth,Dynamic,depth,Static
0,0,0,0,0,0
5,0.622,5,0.537508165,5,0.140469233
10,0.85,10,0.787480429,10,0.504077572
15,0.936,15,0.941031872,15,0.831609229
20,0.99,30,1,30,0.955164287
25,0.998,,,50,0.988536602
,,,,82,0.997039279
