Month,ISAMDYN,ISAMBC,MTE
1,0.94,0.84,-0.13
2,2.3,2.14,1.91
3,7.18,6.69,3.17
4,13.12,12.45,17.15
5,26.09,26.99,37.19
6,47.94,53.28,56.94
7,57.79,60.92,63.83
8,43.85,44.27,49.4
9,25.41,24.42,24.86
10,11.02,11.32,7.46
11,3.96,4.67,1.39
12,1.9,2.03,-0.38
