DOY,ISAMDYN,Measured
225,7.388125,8.455675952
226,7.231875,7.875847539
227,7.144375,6.955915704
228,7.11875,7.718255231
229,7.043125,8.318152063
230,6.691875,7.594239012
231,7.3225,7.515974545
232,6.5875,7.62368522
233,6.019375,6.970433099
234,6.54125,6.124302892
235,6.2675,6.560934301
236,5.376875,6.951492715
237,4.915625,7.40101503
238,5.3175,6.010643803
239,6.100625,6.560749493
240,5.94125,6.856177332
241,4.558125,6.314766435
242,7.259375,5.93615148
243,6.05125,7.08459418
244,6.234375,7.600921753
245,6.020625,6.206357456
246,6.729375,6.802487996
247,5.5475,6.647095786
248,6.0025,6.740594277
249,5.564375,6.205413126
250,5.404375,7.315917552
251,4.995625,4.700556597
252,5.516875,4.722150539
253,5.13625,5.011301874
254,5.27625,6.100417793
255,4.88625,5.324610432
256,5.279375,4.889985977
257,5.19,4.595239649
258,5.29,5.198779171
259,5.414375,5.640445168
260,4.75,4.098299536
261,4.763125,4.548350296
262,4.591875,4.857374408
263,4.87625,4.811633307
264,4.279375,3.169681556
265,4.68125,4.4458112
266,4.365,3.813109048
267,4.289375,3.584692477
268,4.281875,3.724096811
269,3.92375,3.445422418
270,3.97125,3.644317474
271,4.12,3.486558368
272,3.761875,2.880952005
273,3.565,2.643911374
274,3.42,2.355650964
275,3.205625,2.205657216
276,3.345625,2.190523584
277,2.806875,1.426445628
278,2.8325,1.757586865
279,2.87,2.087676807
280,2.22125,1.611679702
281,2.52875,2.242435661
282,1.751875,0.8618123
283,1.686875,1.076147886
284,1.65,0.215972148
285,2.251875,1.884364659
286,1.22875,1.473940235
287,1.828125,2.151885301
288,0.1575,1.702632099
289,0.150625,1.799278733
290,0.129375,1.176610266
291,0,1.608883469
292,0,0.237998712
293,0,1.225857699
294,0,1.25483887
295,0,0.785061438
296,0,0.81291292
297,0,0.730039153
298,0,1.002074121
299,0,1.090129068
300,0,1.060905421
301,0,0.752544921
302,0,0.204610809
303,0,0.731771742
304,0,0.586053362
305,0,0.480861489
306,0,0.248305892
307,0,0.43231893
308,0,0.523226709
309,0,0.645681142
310,0,0.488059553
311,0,0.120304522
312,0,0.412338967
313,0,0.340073434
314,0,0.34614161
315,0,0.457050395
316,0,0.433191031
317,0,0.138417291
318,0,0.513478591
319,0,0.285562512
320,0,0.12798068
321,0,0.031542509
322,0,0.310182939
323,0,0.335764295
324,0,0.079457106
325,0,0.05637075
326,0,0.309980376
327,0,0.294551272
328,0,0.52
329,0,0.29
330,0,0.64
331,0,0.140139954
332,0,0.43
333,0,0.205068176
334,0,0.269540149
335,0,0.354258634
336,0,
337,0,0.22
338,0,0.08
339,0,0.83
340,0,0.019396281
341,0,0.080913399
342,0,0.08963528
343,0,0.297600239
344,0,0.169674782
345,0,0.055280966
346,0,
347,0,0.22
348,0,0.04
349,0,0.24
350,0,0.024950262
351,0,
352,0,0.024286775
353,0,0.074798581
354,0,0.115446638
355,0,0.171201503
356,0,0.084047041
357,0,0.072913118
358,0,0.021926096
359,0,0.102601269
360,0,0.057807472
361,0,0.068121464
362,0,0.063522787
363,0,0.119069371
364,0,0.27
365,0,0.22
