DOY,ISAMDYN,ISAMBC,Measured
348,1.17,1.66,
349,0.86,0.95,
350,1.94,3.33,
351,1.05,1.49,
352,1.03,1.4,
353,1.18,1.36,
354,4.67,6.23,
355,4.67,7.44,
356,2.11,3.08,
357,3.84,6.59,
358,3.27,4.9,
359,2.6,4.05,
360,1.15,1.62,
361,0.42,0.54,
362,0.72,0.96,
363,2.34,2.98,
364,4.07,6.11,
365,3.6,5.15,
