Month,ISAMDYN,ISAMBC,MTE
1,0,0,0.02
2,0,0.01,0.03
3,0.04,0.06,0.1
4,0.2,0.31,0.29
5,0.7,1.34,0.96
6,1.8,3.17,2.12
7,2.72,3.57,2.71
8,2.25,2.38,2.08
9,1.2,0.93,0.96
10,0.28,0.23,0.3
11,0.024,0.03,0.06
12,0,0,0.02
