depth,dynamic uptake,static uptake
0,0.030271108,0.022839712
5,0.052199185,0.053340827
10,0.087256183,0.08195012
15,0.125167951,0.095089305
30,0.154715241,0.107560617
50,0.184748927,0.106959761
83,0.008550736,0.093130408
140,,0.070742261
,,0.037571642
,,0.040815616
