Month,ISAMDYN,ISAMBC,MTE
1,1.11,1.68,-0.26
2,1.75,2.33,1.79
3,4.59,5.54,7.13
4,9.69,10.75,16.85
5,23.31,25.41,37.1
6,47.61,53.2,58.68
7,58.02,60.41,65.45
8,43.96,44.1,50.2
9,24.18,22.84,24.14
10,9.01,9.73,7.3
11,2.84,4.3,1.3
12,1.58,2.34,-0.5
