depth,Measured,depth,Dynamic,depth,Static
5,0.239706712,0,0,0,0
10,0.460236887,5,0.204259338,5,0.182819048
20,0.642413988,10,0.368009218,10,0.45353981
30,0.786238015,15,0.567746638,15,0.720607695
40,0.891708968,30,0.768929296,30,0.880377001
50,0.958826847,50,0.917718281,50,0.952524514
60,0.987591653,83,1,83,0.981585865
70,1,,,138,0.992883732
