Month,ISAMDYN,ISAMBC,MTE
1,0,0.65,1.77
2,2.18,2.52,4.56
3,8,8.64,12.34
4,19.67,20.72,24.8
5,41.63,43.47,45.42
6,63.18,63.93,60.86
7,66.88,66.79,66.1
8,52.36,52.35,53.041
9,32.61,31.87,30.94
10,14.45,14.72,13.31
11,4.06,5.38,4.03
12,0.77,1.48,1.24
