DOY,ISAMDYN,ISAMBC,Measured
250,37.77625,25.85625,41.9876955
251,40.3325,28.39375,44.31398586
252,39.2025,28.9975,42.66708997
253,34.7975,28.79,41.09931872
254,32.58375,27.21375,36.94149857
255,36.5925,31.74375,47.42649348
256,36.7875,30.9575,41.46039828
257,32.5575,26.35375,39.07327607
258,40.105,33.77625,31.39979773
259,40.68375,36.3675,31.28051143
260,42.2725,36.57125,31.5496025
261,26.715,22.03625,34.01252458
262,24.79875,20.4225,30.09311604
263,31.00125,24.37875,35.35626932
264,29.8475,24.9375,32.2822349
265,33.475,27.365,27.03650693
266,32.46375,26.33125,26.11379109
267,33.3225,26.31125,27.29747117
268,31.77375,25.77,23.74611756
269,32.115,24.6625,21.15686583
270,31.525,23.95625,17.34410157
271,30.95875,22.5675,19.18949365
272,28.78875,23.51375,19.4588642
273,29.4175,24.945,19.3162574
274,28.5175,21.84625,13.55045342
275,27.03375,20.47625,11.66132667
276,25.2425,20.19625,9.482872852
277,20.10875,16.84125,7.276636138
278,15.69125,13.85125,7.639838115
279,18.3225,16.0225,8.358000768
280,17.6425,16.03625,7.655048404
281,17.48625,16.52625,10.5238047
282,14.95125,15.635,10.3923506
283,16.25625,16.98875,8.162847351
284,14.74375,14.785,7.649894763
285,15.77,14.53625,6.71879775
286,13.2425,11.98125,5.92125174
287,9.9575,10.58625,11.62861226
288,8.475,7.90875,6.268850309
289,6.7425,8.125,5.564907266
290,8.40125,9.145,5.932817362
291,9.6275,11.7425,4.239536221
292,7.33375,9.36625,4.200233571
293,8.095,10.05125,6.539212474
294,8.04875,10.04625,6.161052188
295,6.18375,8.88375,3.093944328
296,6.34375,9.77125,3.155184435
297,7.37,9.90375,4.927099723
298,6.66625,10.12375,3.395473256
299,5.79875,8.9,3.122587505
300,5.56125,8.065,8.767964477
301,6.4175,10.0575,5.477245598
302,5.59125,8.27375,5.20331875
303,5.91,7.62,5.522311429
304,4.58625,6.18375,4.239917268
305,3.03,5.6325,8.05030983
306,2.41625,5.88625,5.451780208
307,4.1825,6.93875,4.129042569
308,4.82375,7.235,4.299220952
309,3.4025,4.9125,4.582329614
310,3.58875,6.015,4.506926406
311,3.81875,6.1575,1.901243326
312,3.26125,4.19,2.561543021
313,4.3475,5.49875,3.385208458
314,3.75,4.91375,1.360512858
315,2.3525,3.99625,3.462592047
316,3.02375,3.8225,1.816714458
317,3.2325,5.05125,2.576235917
318,1.16,2.49375,3.817346388
319,0.24375,1.26875,3.193347051
320,2.06625,3.6,2.6000229
321,1.99125,3.87625,5.366503583
322,1.37625,3.5,2.965679299
323,2.38,3.95,1.388240329
324,2.67375,3.53625,3.963889163
325,2.14125,3.76,0.944628367
326,1.10375,3.07625,6.875614333
327,0.28875,2.4375,2.495231354
328,0.83,3.15,2.66021201
329,2.115,3.1175,1.781204701
330,2.1625,3.74875,1.186639115
331,0.60375,1.93,3.667527639
332,0.59375,0.615,6.220609458
333,0.34625,2.58125,3.395429861
334,1.54625,4.12625,3.15270058
335,0.58375,2.87875,2.741203594
336,1.38375,2.665,1.622672639
337,2.9625,4.01625,4.377718229
338,1.61125,2.78,1.395931404
