depth,Measured,depth,Dynamic,depth,Static
0,0,0,0,0,0
10,0.684499314,5,0.288916822,5,0.278642793
20,0.794238683,10,0.495804839,10,0.491273699
30,0.868312757,15,0.713971846,15,0.680829073
40,0.921124829,30,0.887666263,30,0.816144011
50,0.96090535,50,1,50,0.899474493
60,1,,,,
