depth,dynamic uptake,static uptake
0,0.000185,0.086377858
5,0.0185,0.384570692
10,0.074,0.760701367
15,0.152828115,0.815835833
30,0.671030073,0.498942225
50,0.584415385,0.225308417
83,0.259548448,0.090754208
