Month,ISAMDYN,ISAMBC,MTE
1,0,0,0
2,0,0,0.01
3,0,0,0.03
4,0.04,0.07,0.11
5,0.29,0.57,0.45
6,1.16,1.9,1.16
7,1.79,2.22,1.51
8,1.43,1.5,1.12
9,0.7,0.5,0.44
10,0.11,0.08,0.1
11,0.003,0,0.02
12,0,0,0
