Month,ISAMDYN,ISAMBC,MTE
1,-7.19,-5.83,-9.06
2,-2.67,-0.28,-6.1
3,4.81,10.41,3.48
4,13.39,22.15,22.17
5,35.81,43.11,44.23
6,60.69,65.09,62.16
7,60.12,64.93,59.63
8,41.71,48.1,51.32
9,20.65,25.58,35.3
10,2.19,4.43,18.41
11,-7.46,-5.96,2.83
12,-9.91,-8.82,-6.52
